vnr_uid,best_algorithm,v_net_id,seed,result,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,event_time,v_net_arrival_time,inservice_count,num_algorithms_tested,algorithms_tested
123_4_3114.0,mip,123,4,False,5,4,25.29139317247771,66.0,33.0,119.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,3114.0,3114.0,1,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_0_1527.0,mcts,124,0,False,7,12,768.9143613013771,190.0,95.0,520.0,10495.0,1133,9362.0,0.0,0.0,1527.0,1527.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_0_2076.0,mip,124,0,False,20,116,164.27821607639785,1548.0,774.0,10810.0,10495.0,1133,9362.0,0.0,0.0,2076.0,2076.0,0,2,mip
124_0_3050.0,mip,124,0,False,4,4,127.00569238417994,56.0,28.0,144.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,3050.0,3050.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_0_3096.0,mip,124,0,False,8,10,202.4587595803043,338.0,169.0,636.0,10495.0,1133,9362.0,0.0,0.0,3096.0,3096.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_1_1534.0,mcts,124,1,False,6,10,194.8064579614232,240.0,120.0,433.0,9881.0,1235,8646.0,0.0,0.0,1534.0,1534.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_1_3101.0,mcts,124,1,False,6,10,505.7000551442834,92.0,46.0,329.0,5188.0,764,4424.0,0.0,0.0,3101.0,3101.0,0,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_1_3149.0,mcts,124,1,False,12,31,785.0371336174098,590.0,295.0,2024.0,9881.0,1235,8646.0,0.0,0.0,3149.0,3149.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_2_1559.0,mcts,124,2,False,6,9,1075.0250767498912,198.0,99.0,406.0,10585.0,1285,9300.0,0.0,0.0,1559.0,1559.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
124_2_3020.0,mcts,124,2,False,19,87,1561.809387439826,928.0,464.0,5310.0,10585.0,1285,9300.0,0.0,0.0,3020.0,3020.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
