vnr_uid,best_algorithm,num_nodes,num_edges,density,avg_degree,total_demand,node_demand,link_demand,avg_node_demand,avg_link_demand,node_link_demand_ratio,p_net_available,p_net_node_available,p_net_link_available,p_net_node_util,p_net_link_util,total_demand_ratio,node_demand_ratio,link_demand_ratio,lifetime,arrival_time,event_time,inservice_count,network_load,is_fat_tree,is_tree,p_net_size,vnr_to_pnet_size_ratio
100_0_2478.0,mip,4,4,0.6666666111111158,1.999999500000125,82.0,41.0,144.0,10.24999743750064,35.99999100000225,0.2847222202449846,5065.0,718,4347.0,0.0,0.0,0.016189536028392983,0.05710306398732164,0.033126293988238714,1045.7782980075951,2478.0,2478.0,0,0,0,1,31,0.12903225390218534
100_0_2492.0,mcts,18,87,0.5686274491221325,9.66666612962966,902.0,451.0,5075.0,25.05555416358032,58.33333266283526,0.08886699505638088,10495.0,1133,9362.0,0.0,0.0,0.0859456884148694,0.3980582520758532,0.5420850245094974,1599.719459514838,2492.0,2492.0,0,0,0,1,31,0.5806451425598341
100_1_1242.0,mcts,13,36,0.4615384585798817,5.538461112426068,442.0,221.0,1435.0,16.999998692307795,39.86111000385806,0.15400696853379303,9881.0,1235,8646.0,0.0,0.0,0.04473231453853534,0.17894736827615595,0.1659727041214466,1116.9434389077066,1242.0,1242.0,0,0,0,1,31,0.4193548251821024
100_1_2520.0,mip,4,3,0.4999999583333368,1.4999996250000938,30.0,15.0,72.0,3.749999062500234,23.999992000002667,0.20833333043981486,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,0.005843396960295404,0.01989389917785955,0.01643835616063051,379.2890302347226,2520.0,2520.0,1,1,0,1,31,0.12903225390218534
100_1_2560.0,mcts,15,47,0.44761904548752834,6.266666248888917,852.0,426.0,2970.0,28.399998106666793,63.19148801720239,0.14343434338604905,9881.0,1235,8646.0,0.0,0.0,0.08622609046794595,0.34493927097575766,0.3435114503419487,406.7437558494571,2560.0,2560.0,0,0,0,1,31,0.4838709521331951
100_2_1254.0,mcts,10,24,0.5333333274074075,4.799999520000048,378.0,189.0,1101.0,18.89999811000019,45.874998088541744,0.1716621251846847,10585.0,1285,9300.0,0.0,0.0,0.03571091166408021,0.14708171194779632,0.11838709676146375,526.4737787547996,1254.0,1254.0,0,0,0,1,31,0.3225806347554634
100_2_2442.0,mcts,16,63,0.5249999978125001,7.8749995078125306,912.0,456.0,3940.0,28.49999821875011,62.539681546989186,0.11573604057976243,10585.0,1285,9300.0,0.0,0.0,0.08615965988793957,0.35486381295341335,0.4236559139329402,44.086730845173534,2442.0,2442.0,0,0,0,1,31,0.5161290156087414
100_2_2456.0,ga_meta,2,1,0.99999950000025,0.99999950000025,68.0,34.0,4.0,16.99999150000425,3.9999960000040002,8.499997875000531,15666.0,1286,14380.0,0.0,0.0,0.004340610238456491,0.026438569186284157,0.00027816411680958524,195.59665491452856,2456.0,2456.0,0,0,1,0,36,0.05555555401234573
100_3_1261.0,mcts,9,16,0.444444438271605,3.5555551604938715,378.0,189.0,634.0,20.99999766666693,39.62499752343765,0.298107255050304,10503.0,1172,9331.0,0.0,0.0,0.035989717220223774,0.16126279849721603,0.06794555781074423,36.48418159681306,1261.0,1261.0,0,0,0,1,31,0.29032257127991706
100_3_2582.0,ga_meta,8,8,0.285714280612245,1.9999997500000315,348.0,174.0,529.0,21.74999728125034,66.12499173437604,0.32892249465232043,10503.0,1172,9331.0,0.0,0.0,0.03313339045671395,0.14846416369584967,0.05669274460864936,278.36320124935276,2582.0,2582.0,0,0,0,1,31,0.2580645078043707
100_3_2590.0,mip,4,3,0.4999999583333368,1.4999996250000938,78.0,39.0,40.0,9.749997562500608,13.33332888889037,0.9749999756250006,15828.0,1173,14655.0,0.0,0.0,0.004927975738885015,0.033248081813087735,0.002729443875624057,664.6247754682353,2590.0,2590.0,0,0,1,0,36,0.11111110802469146
100_4_1255.0,mcts,10,29,0.6444444372839507,5.799999420000058,354.0,177.0,1215.0,17.69999823000018,41.8965502794293,0.1456790122257786,10885.0,1170,9715.0,0.0,0.0,0.0325218190140081,0.15128205115275037,0.125064333492016,101.37642153119177,1255.0,1255.0,0,0,0,1,31,0.3225806347554634
100_4_2513.0,mcts,13,30,0.38461538214990143,4.615384260355057,656.0,328.0,1783.0,25.230767289940978,59.43333135222229,0.18395961851712864,10885.0,1170,9715.0,0.0,0.0,0.06026642167567603,0.28034188010227185,0.18353062272943585,2592.765170323584,2513.0,2513.0,0,0,0,1,31,0.4193548251821024
100_4_2527.0,mip,4,3,0.4999999583333368,1.4999996250000938,26.0,13.0,52.0,3.2499991875002032,17.33332755555748,0.24999999519230778,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,0.001635837422823969,0.010425020039755395,0.0035502150608622777,1.9400780853765671,2527.0,2527.0,1,1,1,0,36,0.11111110802469146
101_0_1265.0,ga_meta,5,5,0.4999999750000012,1.99999960000008,192.0,96.0,217.0,19.19999616000077,43.39999132000173,0.4423963113253626,10495.0,1133,9362.0,0.0,0.0,0.018294425915360225,0.08473080310262064,0.02317880794454403,364.2619172328909,1265.0,1265.0,0,0,0,1,31,0.1612903173777317
101_0_1688.0,mip,25,175,0.5833333323611111,13.999999440000021,2024.0,1012.0,16029.0,40.47999838080006,91.5942851908898,0.06313556678126299,10495.0,1133,9362.0,0.0,0.0,0.19285373985775572,0.8932038827067926,1.7121341591847752,953.4864910484172,1688.0,1688.0,0,0,0,1,31,0.8064515868886585
101_0_2505.0,mcts,5,5,0.4999999750000012,1.99999960000008,88.0,44.0,201.0,8.799998240000352,40.199991960001604,0.218905471547734,5065.0,718,4347.0,0.0,0.0,0.01737413622559247,0.06128133696200371,0.04623878535858321,206.364930195333,2505.0,2505.0,0,0,0,1,31,0.1612903173777317
101_0_2524.0,mcts,15,50,0.47619047392290254,6.666666222222252,818.0,409.0,2918.0,27.26666484888901,58.359998832800024,0.1401644961822603,10495.0,1133,9362.0,0.0,0.0,0.0779418770768993,0.3609885257184567,0.3116855372450667,205.34777009549728,2524.0,2524.0,0,0,0,1,31,0.4838709521331951
101_1_1254.0,mcts,9,21,0.5833333252314816,4.666666148148206,298.0,149.0,845.0,16.555553716049587,40.23809332199556,0.1763313607380694,9881.0,1235,8646.0,0.0,0.0,0.030158890797474053,0.12064777318166171,0.09773305573701907,431.20583488403906,1254.0,1254.0,0,0,0,1,31,0.29032257127991706
101_1_2542.0,rw_rank_bfs,9,18,0.49999999305555565,3.9999995555556054,206.0,103.0,457.0,11.444443172839648,25.388887478395137,0.22538293167312268,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,0.04012465912736177,0.13660477435463558,0.10433789951955755,69.74295469166917,2542.0,2542.0,1,1,0,1,31,0.29032257127991706
101_1_2590.0,mcts,9,17,0.47222221566358036,3.7777773580247382,466.0,233.0,1005.0,25.888886012346,59.11764358131508,0.23184079578921313,9881.0,1235,8646.0,0.0,0.0,0.04716121849537889,0.18866396745857167,0.1162387230955079,638.8170018380854,2590.0,2590.0,0,0,0,1,31,0.29032257127991706
101_2_1267.0,mip,6,8,0.5333333155555561,2.6666662222222963,230.0,115.0,291.0,19.166663472222755,36.37499545312557,0.3951890020783883,10585.0,1285,9300.0,0.0,0.0,0.02172886159454616,0.08949416335447924,0.03129032257728061,512.3788133068981,1267.0,1267.0,0,0,0,1,31,0.19354838085327802
101_2_2461.0,mcts,18,81,0.5294117629757785,8.999999500000028,998.0,499.0,4822.0,27.72222068209885,59.530863462581934,0.10348403150072914,10585.0,1285,9300.0,0.0,0.0,0.09428436465807422,0.3883268479468273,0.5184946236001619,113.3785792910568,2461.0,2461.0,0,0,0,1,31,0.5806451425598341
101_2_2481.0,mcts,9,22,0.6111111026234569,4.8888883456790735,218.0,109.0,647.0,12.11110976543225,29.40908957231411,0.16846986063605895,15666.0,1286,14380.0,0.0,0.0,0.013915485764463456,0.08475894239132274,0.044993045893950416,2248.700486173692,2481.0,2481.0,0,0,1,0,36,0.24999999305555576
101_3_1273.0,mcts,15,63,0.5999999971428571,8.399999440000038,590.0,295.0,2558.0,19.666665355555644,40.60317395867978,0.11532447219885673,10503.0,1172,9331.0,0.0,0.0,0.05617442634902652,0.2517064844268716,0.2741399635329397,912.8755846244046,1273.0,1273.0,0,0,0,1,31,0.4838709521331951
101_3_2607.0,mip,4,3,0.4999999583333368,1.4999996250000938,50.0,25.0,115.0,6.24999843750039,38.333320555559816,0.21739130245746693,15828.0,1173,14655.0,0.0,0.0,0.003158958806977574,0.021312872957107522,0.007847151142419163,324.17451880825666,2607.0,2607.0,0,0,1,0,36,0.11111110802469146
101_3_2612.0,mcts,12,33,0.49999999621212127,5.499999541666705,580.0,290.0,2138.0,24.166664652777946,64.7878768246098,0.135640785717661,10503.0,1172,9331.0,0.0,0.0,0.05522231742785658,0.24744027282641612,0.2291287107245602,652.9794252677979,2612.0,2612.0,0,0,0,1,31,0.38709676170655605
101_4_1271.0,mcts,11,19,0.34545454231404965,3.4545451404958967,424.0,212.0,693.0,19.272725520661318,36.473682290858825,0.30591630547486826,10885.0,1170,9715.0,0.0,0.0,0.03895268718061987,0.1811965810417123,0.07133299021396469,1017.9072729582688,1271.0,1271.0,0,0,0,1,31,0.3548386982310097
101_4_2542.0,mcts,12,35,0.5303030262855831,5.833332847222263,728.0,364.0,2385.0,30.333330805555768,68.14285519591843,0.15262054500938343,10885.0,1170,9715.0,0.0,0.0,0.06688102893276242,0.31111111084520415,0.24549665463247589,199.02860673043503,2542.0,2542.0,0,0,0,1,31,0.38709676170655605
101_4_2554.0,mip,3,3,0.9999998333333611,1.9999993333335555,84.0,42.0,103.0,13.999995333334889,34.333321888892705,0.40776698633235936,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,0.005285013212200515,0.03368083397459436,0.007032156755169512,1355.5972642251866,2554.0,2554.0,1,1,1,0,36,0.08333333101851859
102_0_1277.0,mcts,6,9,0.5999999800000007,2.9999995000000834,198.0,99.0,440.0,16.499997250000458,48.88888345679073,0.22499999948863636,10495.0,1133,9362.0,0.0,0.0,0.018866126725215232,0.08737864069957754,0.04699850458801554,70.82101546574671,1277.0,1277.0,0,0,0,1,31,0.19354838085327802
102_0_1705.0,mip,19,109,0.637426898720974,11.47368360664823,1562.0,781.0,10791.0,41.10526099445995,98.99999909174313,0.07237512741429199,10495.0,1133,9362.0,0.0,0.0,0.14883277749892018,0.6893203877411117,1.1526383250210812,379.5330348900948,1705.0,1705.0,0,0,0,1,31,0.6129032060353804
102_0_2533.0,mip,5,5,0.4999999750000012,1.99999960000008,162.0,81.0,92.0,16.199996760000648,18.399996320000735,0.8804347730387525,5065.0,718,4347.0,0.0,0.0,0.03198420532438614,0.11281337031641592,0.021164021159152512,1629.4604478949802,2533.0,2533.0,0,0,0,1,31,0.1612903173777317
102_0_2556.0,mcts,13,46,0.5897435859631821,7.076922532544421,740.0,370.0,3152.0,28.46153627218952,68.52173764083179,0.11738578676478878,10495.0,1133,9362.0,0.0,0.0,0.0705097665487842,0.3265666369580171,0.3366801965032386,3053.1846429416996,2556.0,2556.0,0,0,0,1,31,0.4193548251821024
102_1_1279.0,mcts,9,19,0.5277777704475309,4.2222217530864725,312.0,156.0,811.0,17.333331407407623,42.68420827977851,0.1923551169021515,9881.0,1235,8646.0,0.0,0.0,0.03157575143896612,0.1263157893714042,0.0938006014233402,101.67671304531154,1279.0,1279.0,0,0,0,1,31,0.29032257127991706
102_1_2555.0,mip,4,3,0.4999999583333368,1.4999996250000938,106.0,53.0,101.0,13.249996687500827,33.66665544444818,0.5247524700519558,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,0.020646669259710426,0.07029177709510374,0.023059360725328912,412.1509352397844,2555.0,2555.0,1,1,0,1,31,0.12903225390218534
102_1_2614.0,mcts,9,19,0.5277777704475309,4.2222217530864725,464.0,232.0,1142.0,25.77777491358057,60.10525999446,0.20315236409531315,9881.0,1235,8646.0,0.0,0.0,0.04695880983230859,0.18785425086003701,0.13208420077121394,111.36880883904924,2614.0,2614.0,0,0,0,1,31,0.29032257127991706
102_2_1280.0,mcts,15,51,0.4857142834013606,6.799999546666697,540.0,270.0,2170.0,17.999998800000082,42.54901877354865,0.12442396307630232,10585.0,1285,9300.0,0.0,0.0,0.05101558809154316,0.21011673135399475,0.2333333333082437,126.22350481469276,1280.0,1280.0,0,0,0,1,31,0.4838709521331951
102_2_2482.0,mcts,11,31,0.5636363585123968,5.636363123966989,580.0,290.0,1548.0,26.36363396694237,49.93548226014573,0.18733850117096995,10585.0,1285,9300.0,0.0,0.0,0.054794520542768586,0.22568093367651287,0.16645161288532778,571.0776116440833,2482.0,2482.0,0,0,0,1,31,0.3548386982310097
102_2_2495.0,ga_meta,2,1,0.99999950000025,0.99999950000025,40.0,20.0,29.0,9.9999950000025,28.999971000029003,0.689655148632581,15666.0,1286,14380.0,0.0,0.0,0.0025533001402685243,0.015552099521343623,0.002016689846869493,2644.2092578954366,2495.0,2495.0,0,0,1,0,36,0.05555555401234573
102_3_1285.0,mip,5,4,0.399999980000001,1.599999680000064,190.0,95.0,92.0,18.99999620000076,22.999994250001436,1.0326086844281666,10503.0,1172,9331.0,0.0,0.0,0.01809006950222888,0.08105802040865356,0.009859607758025976,586.0371216542109,1285.0,1285.0,0,0,0,1,31,0.1612903173777317
102_3_2630.0,mcts,19,80,0.46783625594199924,8.421052188365675,1008.0,504.0,4986.0,26.52631439335187,62.324999220937514,0.10108303247070136,10503.0,1172,9331.0,0.0,0.0,0.09597257925393006,0.4300341293259094,0.5343478726251905,0.7458000816538389,2630.0,2630.0,0,0,0,1,31,0.6129032060353804
102_4_1281.0,mcts,15,51,0.4857142834013606,6.799999546666697,440.0,220.0,1964.0,14.666665688888955,38.50980316647445,0.11201629322198763,10885.0,1170,9715.0,0.0,0.0,0.04042259990441685,0.18803418787347503,0.2021616057434728,217.2471393966827,1281.0,1281.0,0,0,0,1,31,0.4838709521331951
102_4_2553.0,mcts,10,28,0.6222222153086421,5.599999440000056,496.0,248.0,1622.0,24.79999752000025,57.92856935969395,0.15289765711905198,10885.0,1170,9715.0,0.0,0.0,0.04556729443770626,0.21196581178464458,0.1669583118716461,1023.2105822283162,2553.0,2553.0,0,0,0,1,31,0.3225806347554634
102_4_2575.0,mcts,10,24,0.5333333274074075,4.799999520000048,164.0,82.0,624.0,8.199999180000082,25.999998916666712,0.13141025619966304,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,0.010318359128581958,0.06575781871230327,0.04260258073034733,122.8966491597611,2575.0,2575.0,1,1,1,0,36,0.2777777700617286
103_0_1286.0,mcts,7,10,0.476190464852608,2.85714244897965,200.0,100.0,438.0,14.285712244898251,43.799995620000445,0.22831050176184817,10495.0,1133,9362.0,0.0,0.0,0.019056693661833567,0.0882612532318965,0.046784875021706376,630.9063390227499,1286.0,1286.0,0,0,0,1,31,0.22580644432882438
103_0_1729.0,mip,26,200,0.6153846144378698,15.38461479289943,1976.0,988.0,19630.0,37.99999853846159,98.14999950925001,0.05033112582525058,10495.0,1133,9362.0,0.0,0.0,0.18828013337891567,0.8720211819311374,2.0967741933244204,158.3741883489014,1729.0,1729.0,0,0,0,1,31,0.8387096503642048
103_0_2565.0,mip,4,4,0.6666666111111158,1.999999500000125,64.0,32.0,131.0,7.9999980000005,32.749991812502046,0.24427480729561216,5065.0,718,4347.0,0.0,0.0,0.012635735436794523,0.044568245063275426,0.030135725780967165,131.78855704244657,2565.0,2565.0,0,0,0,1,31,0.12903225390218534
103_0_2590.0,mcts,13,45,0.5769230732248521,6.923076390532586,626.0,313.0,2936.0,24.076921224852214,65.24444299456793,0.10660762939148243,10495.0,1133,9362.0,0.0,0.0,0.05964745116153907,0.27625772261583603,0.31360820334184913,1163.1132949503808,2590.0,2590.0,0,0,0,1,31,0.4193548251821024
103_1_1288.0,mcts,12,30,0.4545454511019284,4.999999583333368,476.0,238.0,1223.0,19.833331680555695,40.76666530777782,0.19460343401913047,9881.0,1235,8646.0,0.0,0.0,0.04817326181073037,0.19271255045124489,0.1414526948714489,775.4176286499844,1288.0,1288.0,0,0,0,1,31,0.38709676170655605
103_1_2577.0,ga_meta,8,13,0.4642857059948981,3.249999593750051,148.0,74.0,311.0,9.249998843750145,23.92307508284038,0.23794212142140797,5134.0,754,4380.0,0.013089005235602,0.0099457504520795,0.02882742500412399,0.09814323594410712,0.07100456619383456,91.85974811109456,2577.0,2577.0,1,1,0,1,31,0.2580645078043707
103_1_2640.0,mcts,11,34,0.6181818125619836,6.181817619834762,474.0,237.0,2170.0,21.54545258677704,63.823527534602135,0.10921658981142093,9881.0,1235,8646.0,0.0,0.0,0.047970853147660066,0.19190283385271023,0.2509831135495046,699.3179931618173,2640.0,2640.0,0,0,0,1,31,0.3548386982310097
103_2_1290.0,mcts,12,26,0.39393939095500463,4.333332972222252,454.0,227.0,1063.0,18.91666509027791,40.88461381213023,0.21354656612084047,10585.0,1285,9300.0,0.0,0.0,0.042890883321408516,0.17665369636058076,0.11430107525652676,693.6539689386359,1290.0,1290.0,0,0,0,1,31,0.38709676170655605
103_2_2504.0,mcts,19,81,0.47368420914127424,8.526315340720245,1028.0,514.0,4960.0,27.052630155124728,61.23456714525226,0.10362903223717156,10585.0,1285,9300.0,0.0,0.0,0.09711856399649328,0.3999999996887159,0.5333333332759856,249.5917695878725,2504.0,2504.0,0,0,0,1,31,0.6129032060353804
103_2_2519.0,pl_rank,7,15,0.714285697278912,4.285713673469475,118.0,59.0,416.0,8.428570224489969,27.73333148444457,0.14182692273599298,15666.0,1286,14380.0,0.0,0.0,0.007532235413792146,0.04587869358796369,0.028929068148196867,874.7835670134227,2519.0,2519.0,0,0,1,0,36,0.19444443904321004
103_3_1295.0,ga_meta,5,5,0.4999999750000012,1.99999960000008,194.0,97.0,195.0,19.399996120000775,38.99999220000156,0.4974358948849441,10503.0,1172,9331.0,0.0,0.0,0.018470913070696857,0.08276450504883574,0.02089808166103332,66.28454580269562,1295.0,1295.0,0,0,0,1,31,0.1612903173777317
103_3_2647.0,mcts,9,17,0.47222221566358036,3.7777773580247382,452.0,226.0,968.0,25.111108320987967,56.94117312110746,0.23347107413897616,10503.0,1172,9331.0,0.0,0.0,0.043035323236881334,0.19283276434058635,0.10374022075836027,30.78024924244618,2647.0,2647.0,0,0,0,1,31,0.29032257127991706
103_3_2648.0,mip,5,4,0.399999980000001,1.599999680000064,114.0,57.0,191.0,11.399997720000457,47.749988062502986,0.29842931780927057,15828.0,1173,14655.0,0.0,0.0,0.007202426079908868,0.048593350342205154,0.013033094506104872,270.2661915770329,2648.0,2648.0,0,0,1,0,36,0.1388888850308643
103_4_1296.0,pl_rank,6,9,0.5999999800000007,2.9999995000000834,204.0,102.0,316.0,16.99999716666714,35.11110720987698,0.32278480910511137,10885.0,1170,9715.0,0.0,0.0,0.018741387228411448,0.08717948710497479,0.0325270200687054,90.25865744017176,1296.0,1296.0,0,0,0,1,31,0.19354838085327802
103_4_2579.0,mcts,19,90,0.5263157879347492,9.473683711911383,914.0,457.0,5321.0,24.052630313019456,59.12222156530865,0.08588611161701068,10885.0,1170,9715.0,0.0,0.0,0.08396876434690227,0.39059829026444587,0.5477097271695616,105.97207370436097,2579.0,2579.0,0,0,0,1,31,0.6129032060353804
103_4_2602.0,mcts,10,21,0.46666666148148156,4.199999580000043,170.0,85.0,461.0,8.499999150000086,21.952379907029528,0.18438177834190503,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,0.010695860072310565,0.06816359256763144,0.0314740219818752,153.8850625113591,2602.0,2602.0,1,1,1,0,36,0.2777777700617286
104_0_1297.0,mcts,9,14,0.38888888348765444,3.1111107654321373,310.0,155.0,575.0,17.22222030864219,41.07142563775531,0.2695652169224953,10495.0,1133,9362.0,0.0,0.0,0.02953787517584203,0.1368049425094396,0.06141850031388394,252.13996582016048,1297.0,1297.0,0,0,0,1,31,0.29032257127991706
104_0_1741.0,mip,19,98,0.5730994135289491,10.315788930747951,1658.0,829.0,9724.0,43.63157665096965,99.22448878342358,0.08525298230303856,10495.0,1133,9362.0,0.0,0.0,0.15797999045660027,0.731685789292422,1.0386669513951434,19.99068233467688,1741.0,1741.0,0,0,0,1,31,0.6129032060353804
104_0_2593.0,mip,5,4,0.399999980000001,1.599999680000064,120.0,60.0,124.0,11.99999760000048,30.999992250001938,0.4838709638397503,5065.0,718,4347.0,0.0,0.0,0.02369200394398973,0.08356545949364143,0.02852541982320556,1491.1003440590173,2593.0,2593.0,0,0,0,1,31,0.1612903173777317
104_0_2613.0,mip,8,16,0.57142856122449,3.999999500000063,380.0,190.0,1061.0,23.749997031250373,66.31249585546901,0.17907634290379232,10495.0,1133,9362.0,0.0,0.0,0.03620771795748378,0.16769638114060337,0.1133304849270102,242.718492852546,2613.0,2613.0,0,0,0,1,31,0.2580645078043707
104_1_1299.0,mcts,12,35,0.5303030262855831,5.833332847222263,482.0,241.0,1246.0,20.08333165972236,35.59999898285717,0.19341894045471994,9881.0,1235,8646.0,0.0,0.0,0.04878048779994125,0.19514170024684882,0.14411288455423168,473.4151478979741,1299.0,1299.0,0,0,0,1,31,0.38709676170655605
104_1_2606.0,mcts,2,1,0.99999950000025,0.99999950000025,30.0,15.0,1.0,7.499996250001875,0.9999990000010001,14.999985000015002,5118.0,739,4379.0,0.0327225130890052,0.0101717902350814,0.005861664711633125,0.020297699566579567,0.0002283626398199674,273.29096492460206,2606.0,2606.0,2,2,0,1,31,0.06451612695109267
104_1_2661.0,mcts,8,16,0.57142856122449,3.999999500000063,312.0,156.0,1007.0,19.499997562500308,62.93749606640649,0.15491559071011363,9881.0,1235,8646.0,0.0,0.0,0.03157575143896612,0.1263157893714042,0.116470043937489,2168.840003918536,2661.0,2661.0,0,0,0,1,31,0.2580645078043707
104_2_1302.0,mcts,9,16,0.444444438271605,3.5555551604938715,332.0,166.0,601.0,18.44444239506196,37.56249765234389,0.2762063223357632,10585.0,1285,9300.0,0.0,0.0,0.03136513934517098,0.12918287927690048,0.06462365590702972,302.6398625133341,1302.0,1302.0,0,0,0,1,31,0.29032257127991706
