algorithm,topology,seed,acceptance_rate,revenue,r2c_ratio,num_accepted,num_requests,total_time,avg_time_per_vnr,algo_display
mcts,unknown,0,0.18,2353.0,0.3832871803225281,36.0,200,136.10643887519836,0.6805321943759918,MCTS
mcts,unknown,0,0.735,31723.0,0.4259149861711555,147.0,200,175.78941202163696,0.8789470601081848,MCTS
mcts,unknown,0,0.175,2109.0,0.3435972629521016,35.0,200,174.2962303161621,0.8714811515808105,MCTS
mcts,unknown,0,0.72,30790.0,0.4176161024305556,144.0,200,125.2869999408722,0.626434999704361,MCTS
mcts,unknown,0,0.765,32217.0,0.428428947578393,153.0,200,173.58804082870483,0.8679402041435241,MCTS
mcts,unknown,0,0.155,1940.0,0.3981937602627258,31.0,200,171.18571424484253,0.8559285712242126,MCTS
sa_meta,unknown,0,0.745,35110.0,0.4946185055787219,149.0,200,58.72789001464844,0.2936394500732422,SA
sa_meta,unknown,0,0.725,36583.0,0.4662868359335169,145.0,200,60.09573197364807,0.30047865986824035,SA
sa_meta,unknown,0,0.195,2461.0,0.6439037153322867,39.0,200,34.84401488304138,0.1742200744152069,SA
sa_meta,unknown,0,0.715,35557.0,0.4935867181209917,143.0,200,42.76586318016052,0.21382931590080262,SA
sa_meta,unknown,0,0.16,2104.0,0.582664081971753,32.0,200,34.0891547203064,0.17044577360153199,SA
sa_meta,unknown,0,0.185,2466.0,0.6719346049046322,37.0,200,24.88456916809082,0.1244228458404541,SA
pl_rank,unknown,0,0.225,3911.0,0.8166631864689914,45.0,200,4.483547210693359,0.022417736053466798,PL-Rank
pl_rank,unknown,0,0.79,38581.0,0.5560664149202963,158.0,200,3.0703186988830566,0.015351593494415283,PL-Rank
pl_rank,unknown,0,0.79,38581.0,0.5560664149202963,158.0,200,3.0569710731506348,0.015284855365753174,PL-Rank
pl_rank,unknown,0,0.29,4667.0,0.8493175614194722,58.0,200,4.605601787567139,0.023028008937835694,PL-Rank
pl_rank,unknown,0,0.765,37371.0,0.5611851095460484,153.0,200,3.172981023788452,0.01586490511894226,PL-Rank
pl_rank,unknown,0,0.275,4384.0,0.8377603669023505,55.0,200,4.256402969360352,0.02128201484680176,PL-Rank
pl_rank,unknown,0,0.275,4384.0,0.8377603669023505,55.0,200,5.380640745162964,0.02690320372581482,PL-Rank
pl_rank,unknown,0,0.765,37371.0,0.5611851095460484,153.0,200,2.0370771884918213,0.010185385942459107,PL-Rank
pl_rank,unknown,0,0.225,3911.0,0.8166631864689914,45.0,200,5.256805181503296,0.02628402590751648,PL-Rank
pl_rank,unknown,0,0.74,35468.0,0.5483187756048543,148.0,200,3.549154996871948,0.01774577498435974,PL-Rank
pl_rank,unknown,0,0.29,4667.0,0.8493175614194722,58.0,200,5.328684091567993,0.026643420457839965,PL-Rank
pl_rank,unknown,0,0.74,35468.0,0.5483187756048543,148.0,200,3.09495210647583,0.01547476053237915,PL-Rank
rw_rank_bfs,unknown,0,0.31,5812.0,0.866945107398568,62.0,200,1.5019183158874512,0.0075095915794372555,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.76,40428.0,0.6027462615359385,152.0,200,1.2354230880737305,0.0061771154403686525,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.785,41374.0,0.6014362135131992,157.0,200,1.3087520599365234,0.006543760299682617,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.33,6808.0,0.8727086270990898,66.0,200,1.8368430137634275,0.009184215068817137,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.76,40428.0,0.6027462615359385,152.0,200,1.0943727493286133,0.005471863746643066,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.38,7432.0,0.881195162437752,76.0,200,1.5323362350463867,0.007661681175231933,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.33,6808.0,0.8727086270990898,66.0,200,1.5996570587158203,0.007998285293579101,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.31,5812.0,0.866945107398568,62.0,200,0.9963040351867676,0.0049815201759338375,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.795,43420.0,0.5935910756274949,159.0,200,0.8382489681243896,0.004191244840621948,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.38,7432.0,0.881195162437752,76.0,200,2.1471686363220215,0.010735843181610107,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.785,41374.0,0.6014362135131992,157.0,200,1.39465069770813,0.00697325348854065,RW-Rank-BFS
rw_rank_bfs,unknown,0,0.795,43420.0,0.5935910756274949,159.0,200,1.2400100231170654,0.006200050115585327,RW-Rank-BFS
d_round,fat_tree,2,0.515,20363.0,0.3236126120399212,103.0,200,53.48674988746643,0.26743374943733217,D-Round
d_round,fat_tree,1,0.59,22695.0,0.3283372636391256,118.0,200,77.70991396903992,0.38854956984519956,D-Round
d_round,fat_tree,0,0.59,23228.0,0.3148662753656586,118.0,200,75.14598202705383,0.3757299101352692,D-Round
