vnr_uid,best_algorithm,v_net_id,seed,event_time,result,v_net_num_nodes,v_net_num_egdes,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_lifetime,v_net_arrival_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_algorithms_tested
139_3_3560,pl_rank,139,3,3560.0,False,7,9,184.0,92.0,207.0,1.0639103357534847,3560.0,15828.0,1173,14655.0,0.0,0.0,0,8
139_4_3511,ga_meta,139,4,3511.0,False,5,7,106.0,53.0,222.0,364.7065587337378,3511.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
13_0_371,pl_rank,13,0,371.0,False,3,3,70.0,35.0,89.0,1360.6740988507,371.0,5065.0,718,4347.0,0.0,0.0,0,8
13_1_368,pl_rank,13,1,368.0,False,4,4,104.0,52.0,40.0,220.3884061948887,368.0,5188.0,764,4424.0,0.0,0.0,0,8
13_2_317,rw_rank_bfs,13,2,317.0,False,5,6,52.0,26.0,228.0,12.76220885343204,317.0,15581.0,1283,14298.0,0.0023328149300155,0.005702364394993,1,8
13_3_368,rw_rank_bfs,13,3,368.0,False,10,25,158.0,79.0,809.0,181.6961797763172,368.0,15828.0,1173,14655.0,0.0,0.0,0,8
13_4_355,ga_meta,13,4,355.0,False,8,13,130.0,65.0,273.0,779.0220261466006,355.0,15934.0,1266,14668.0,0.0,0.0,0,8
140_0_3424,pl_rank,140,0,3424.0,False,10,22,230.0,115.0,549.0,79.46659204590503,3424.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
140_1_3511,mcts,140,1,3511.0,False,7,10,184.0,92.0,252.0,388.5955514186216,3511.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
140_2_3416,rw_rank_bfs,140,2,3416.0,False,10,23,254.0,127.0,601.0,205.7679699090613,3416.0,15666.0,1286,14380.0,0.0,0.0,0,8
140_3_3587,pl_rank,140,3,3587.0,False,5,5,140.0,70.0,112.0,117.67540137587906,3587.0,15828.0,1173,14655.0,0.0,0.0,0,8
140_4_3536,sa_meta,140,4,3536.0,False,6,8,176.0,88.0,216.0,120.21674643818416,3536.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
141_0_3449,pl_rank,141,0,3449.0,False,2,1,32.0,16.0,20.0,41.43113418526711,3449.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
141_1_3536,mcts,141,1,3536.0,False,7,11,104.0,52.0,242.0,314.69696312152104,3536.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
141_2_3443,rw_rank_bfs,141,2,3443.0,False,7,10,138.0,69.0,332.0,1518.3886577549997,3443.0,15666.0,1286,14380.0,0.0,0.0,0,8
141_3_3610,rw_rank_bfs,141,3,3610.0,False,8,12,148.0,74.0,332.0,122.07971195182846,3610.0,15828.0,1173,14655.0,0.0,0.0,0,8
141_4_3558,rw_rank_bfs,141,4,3558.0,False,10,26,178.0,89.0,610.0,1197.4734964543995,3558.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
142_0_3478,rw_rank_bfs,142,0,3478.0,False,10,20,236.0,118.0,516.0,46.93727423938378,3478.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
142_1_3553,mcts,142,1,3553.0,False,6,9,136.0,68.0,284.0,123.38709738409828,3553.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
142_2_3476,pl_rank,142,2,3476.0,False,3,3,58.0,29.0,59.0,590.997756286661,3476.0,15666.0,1286,14380.0,0.0,0.0,0,8
142_3_3636,pl_rank,142,3,3636.0,False,3,3,62.0,31.0,56.0,363.0878132011632,3636.0,15828.0,1173,14655.0,0.0,0.0,0,8
142_4_3576,rw_rank_bfs,142,4,3576.0,False,8,15,156.0,78.0,320.0,929.6840235673448,3576.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
143_0_3512,pl_rank,143,0,3512.0,False,7,9,174.0,87.0,195.0,557.4437176744732,3512.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
143_1_3584,mcts,143,1,3584.0,False,7,9,142.0,71.0,236.0,290.64936419254104,3584.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
143_2_3505,ga_meta,143,2,3505.0,False,5,7,156.0,78.0,130.0,381.8939545875692,3505.0,15666.0,1286,14380.0,0.0,0.0,0,8
143_3_3664,pl_rank,143,3,3664.0,False,5,5,112.0,56.0,93.0,422.22723157625694,3664.0,15828.0,1173,14655.0,0.0,0.0,0,8
143_4_3611,mcts,143,4,3611.0,False,5,7,112.0,56.0,142.0,140.38585234776247,3611.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,1,8
144_0_3544,pl_rank,144,0,3544.0,False,2,1,52.0,26.0,4.0,140.76200935785482,3544.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
144_1_3604,rw_rank_bfs,144,1,3604.0,False,10,24,202.0,101.0,686.0,327.2307887105584,3604.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
144_2_3524,mcts,144,2,3524.0,False,5,6,126.0,63.0,147.0,22.231859787849743,3524.0,15666.0,1286,14380.0,0.0,0.0,0,8
144_3_3684,ga_meta,144,3,3684.0,False,9,19,224.0,112.0,413.0,868.5253714712403,3684.0,15828.0,1173,14655.0,0.0,0.0,0,8
144_4_3632,rw_rank_bfs,144,4,3632.0,False,9,18,116.0,58.0,441.0,1208.1922001685334,3632.0,15934.0,1266,14668.0,0.0,0.0,0,8
145_0_3576,pl_rank,145,0,3576.0,False,8,12,198.0,99.0,266.0,272.8288616163447,3576.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
145_1_3630,mcts,145,1,3630.0,False,7,6,124.0,62.0,181.0,202.69578713667508,3630.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
145_2_3549,pl_rank,145,2,3549.0,False,5,6,94.0,47.0,90.0,142.21094672270127,3549.0,15666.0,1286,14380.0,0.0,0.0,0,8
145_3_3710,ga_meta,145,3,3710.0,False,6,8,164.0,82.0,308.0,333.4583037388232,3710.0,15828.0,1173,14655.0,0.0,0.0,0,8
145_4_3655,pl_rank,145,4,3655.0,False,5,7,114.0,57.0,154.0,855.3535443110845,3655.0,15934.0,1266,14668.0,0.0,0.0,0,8
146_0_3599,rw_rank_bfs,146,0,3599.0,False,7,12,110.0,55.0,350.0,407.5091708522285,3599.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
146_1_3654,rw_rank_bfs,146,1,3654.0,False,10,28,150.0,75.0,612.0,4.4763160601501735,3654.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
146_2_3574,pl_rank,146,2,3574.0,False,4,4,30.0,15.0,73.0,1433.8518200259173,3574.0,15666.0,1286,14380.0,0.0,0.0,0,8
146_3_3729,pl_rank,146,3,3729.0,False,2,1,52.0,26.0,6.0,1110.2933752037009,3729.0,15828.0,1173,14655.0,0.0,0.0,0,8
146_4_3685,pl_rank,146,4,3685.0,False,3,2,84.0,42.0,68.0,231.2060952425329,3685.0,15934.0,1266,14668.0,0.0,0.0,0,8
147_0_3622,pl_rank,147,0,3622.0,False,5,4,130.0,65.0,116.0,985.0287912522192,3622.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
147_1_3678,pl_rank,147,1,3678.0,False,3,2,70.0,35.0,95.0,352.06759393713253,3678.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
147_2_3607,rw_rank_bfs,147,2,3607.0,False,8,12,86.0,43.0,218.0,406.9349534617289,3607.0,15666.0,1286,14380.0,0.0,0.0,0,8
147_3_3751,pl_rank,147,3,3751.0,False,10,23,222.0,111.0,700.0,251.31365248343067,3751.0,15828.0,1173,14655.0,0.0,0.0,0,8
