v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,v_net_time_cost,v_net_time_revenue,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_rac,best_for_lrc,best_for_lar,best_for_ast,best_for_balanced,num_algos_accepted,network_stress_index,problem_complexity,resource_bottleneck_ratio,vnr_size_category,cpu_intensive_flag,bandwidth_intensive_flag,utilization_pressure,resource_efficiency,p_net_node_link_resource_ratio,p_net_util_imbalance,p_net_resource_heterogeneity,p_net_fragmentation_estimate,p_net_uneven_utilization,p_net_health_score,vnr_demand_intensity,vnr_density_adjusted,vnr_node_link_demand_ratio,vnr_structural_complexity
8,13,56.452751411561366,1544.0,772.0,3378.0,9659.0,4735,4924.0,0.0,0.0,0,0,0.0,0.0,31,0.2580645161290322,96.5,259.8461538261657,0.4642857142691327,4150.0,0.2285375962107079,0.0763125179305728,0.0,0.0,0.0,0,d_round,d_round,d_round,pl_rank,d_round,1,0.0,1926.7857142169007,0.3713735924418719,2,0,1,0.0,2.327469878957236,0.0,0.0,0.9616165716974783,0.0,0.0,96.59,39.523809523809526,1.2501850350164065,0.2285375961431209,0.42983447112687356
4,3,423.6684739536506,590.0,118.0,171.0,8319.0,1194,7125.0,0.5777934936350778,0.5142487046632125,15,36,191921.81870100377,122440.18897260504,20,0.2,29.5,56.999999981,0.4999999999166666,289.0,0.6900584795281284,0.2044563450320359,0.5777934936350778,0.5142487046632125,0.5357142856951531,1,ga_meta,sa_meta,ga_meta,rw_rank_bfs,ga_meta,2,0.5460210991491452,144.4999999759167,0.5175438507419208,0,0,1,0.2971295556646708,28.78546702842399,1.1235660193786223,0.06354478897186533,0.1675789473449012,0.05055265367284572,0.012992135299019608,77.90370900543053,22.23076923076923,0.9661016616829944,0.690058475496734,2.087878475609012
8,17,44.57714434305558,582.0,291.0,1401.0,12023.0,2042,9981.0,0.2134052388289676,0.3056695652173913,2,13,0.0,0.0,20,0.4,36.375,82.4117647010346,0.6071428571211734,1692.0,0.2077087794431065,-0.1497561442096202,0.2134052388289676,0.3056695652173913,0.0714285714260204,1,mcts,rw_rank_bfs,mip,rw_rank_bfs,mip,6,0.2595374020231794,1027.2857142490254,0.4413811509870774,2,0,1,0.065231486567964,7.1057919579753,0.6981543632675097,0.09226432638842369,0.2045887185447762,0.10608147615645194,-0.013817149768028244,109.13706003831982,12.35036496350365,1.3755522448228668,0.2077087792949973,0.4816611428899321
5,5,352.5757491009,1196.0,598.0,1128.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0,0.0,20,0.25,119.6,225.59999995488,0.49999999995,1726.0,0.5301418439711613,-0.6547767045997896,0.0,0.0,0.0,1,mcts,sa_meta,mcts,pl_rank,mcts,3,0.0,862.9999999137,0.53014184172774,1,0,1,0.0,10.025492462325902,0.0,0.0,0.18075742066320316,0.0,-0.0,173.04,66.38461538461539,0.9431438045402692,0.5301418435016473,1.5554620795594643
2,1,51.54842644184209,68.0,17.0,5.0,8883.0,4758,4125.0,0.0237997537956503,0.1090712742980561,6,63,1134.065381720526,1134.065381720526,31,0.064516129032258,8.5,4.999999995,0.999999999,22.0,3.39999999932,0.1505211819833604,0.0237997537956503,0.1090712742980561,0.2142857142780612,0,d_round,ga_meta,d_round,pl_rank,pl_rank,3,0.0664355140468532,21.999999978,1.6999996617000674,0,1,0,0.0025958694744715,403.7727089194223,0.21820168277241525,0.0852715205024058,1.15345454517492,0.07243635044686533,0.012835170055540471,81.25533083377128,7.333333333333333,0.5882352237370325,3.399999320000136,13.469899503547882
7,14,256.3573213852533,508.0,254.0,1244.0,9350.0,1166,8184.0,0.5508474576271186,0.4306782608695652,7,35,0.0,0.0,20,0.35,36.285714285714285,88.85714285079592,0.6666666666349206,1498.0,0.2041800643085175,0.1058621019412833,0.5508474576271186,0.4306782608695652,0.2499999999910714,1,mcts,pl_rank,mcts,rw_rank_bfs,rw_rank_bfs,3,0.4907628592483419,998.6666666191112,0.4083601240508391,1,0,1,0.2372380250552689,6.241655536554301,1.2790201611169465,0.12016919675755344,0.14247311826216114,0.10744783300020319,0.012721363757350253,82.26418010316875,15.131313131313131,1.6325458865727576,0.20418006414454978,0.7555295983594205
9,11,2020.424152917951,1012.0,506.0,1147.0,8909.0,4490,4419.0,0.0,0.0,0,0,0.0,0.0,16,0.5625,56.22222222222222,104.27272726324792,0.3055555555470679,1653.0,0.4411508282472178,0.1480348092187051,0.0,0.0,0.0,2,ga_meta,pl_rank,mip,pl_rank,mip,4,0.0,505.0833333193033,0.5391843405140706,2,0,1,0.0,5.389594673085544,0.0,0.0,1.0160669832504938,0.0,0.0,89.09,16.53,0.5666995945961861,0.44115082786298965,1.0260081716377312
8,17,1178.335358417955,650.0,325.0,1337.0,10035.0,1855,8180.0,0.2997357493393733,0.4418287273967929,3,23,0.0,0.0,16,0.5,40.625,78.64705881890312,0.6071428571211734,1662.0,0.243081525803857,0.0403557425647891,0.2997357493393733,0.4418287273967929,0.1071428571390306,2,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,pl_rank,rw_rank_bfs,1,0.3707822383680831,1009.0714285353904,0.5165482357960396,2,0,1,0.1324318646859394,6.037906133551199,0.6783965196397715,0.1420929780574196,0.2267726161091965,0.13635871041467015,0.005734267642749451,86.09096965193794,12.13138686131387,1.1753845863409536,0.2430815256222277,1.0438268598066116
5,4,365.9560913452528,98.0,49.0,94.0,8015.0,4274,3741.0,0.0481069042316257,0.153428377460964,9,62,0.0,0.0,31,0.1612903225806451,9.8,23.499999994125,0.39999999996,143.0,0.5212765957391353,0.2335277804341589,0.0481069042316257,0.153428377460964,0.3214285714170918,0,pl_rank,pl_rank,pl_rank,pl_rank,pl_rank,1,0.1007676408462948,57.199999994280006,0.4170212589544145,1,0,1,0.0073809642609283,56.04895065700035,0.3135442835506858,0.1053214732293383,1.1424752736855186,0.08072598335403523,0.024595489875303057,71.70848392066854,6.809523809523809,0.9591835752577985,0.5212765901991853,1.23130582003614
6,5,1474.3629474939034,218.0,109.0,247.0,9221.0,4823,4398.0,0.0244741100323624,0.0604571672719503,1,7,0.0,0.0,16,0.375,18.166666666666668,49.39999999012,0.3333333333111111,356.0,0.4412955465569178,0.1181983360428421,0.0244741100323624,0.0604571672719503,0.0357142857130102,2,ga_meta,sa_meta,ga_meta,rw_rank_bfs,ga_meta,2,0.0424656386521563,118.66666665875556,0.367746281428213,1,0,1,0.0014796353640586,25.901685320500885,0.40481065068138805,0.035983057239587904,1.096634833766113,0.03172991974813427,0.004253137491453634,88.89200229193759,11.483870967741936,0.906421968212124,0.4412955447720828,1.0733277518831252
