topology,seed,v_net_id,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_arrival_time,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_running_p_net_nodes,solving_time,p_net_num_nodes,v_net_size_ratio,v_net_demand_per_node,v_net_demand_per_link,v_net_connectivity,v_net_total_demand,v_net_node_to_link_demand_ratio,p_net_overall_util,p_net_node_util,p_net_link_util,system_load,topology_encoded,best_for_acceptance,best_for_time,best_overall,num_algos_accepted,num_algos_rejected
fat_tree,0,206,5,6,76.50882700913002,2054.0,790.0,395.0,1945.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.3477413632848241,20,0.25,79.0,324.1666666126389,0.59999999994,2340.0,0.2030848329047799,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,d_round,78,112
tree,0,92,3,2,431.20583488403906,4669.0,228.0,19.0,36.0,7894.0,4259,3635.0,0.0514476614699331,0.1774157049106133,10,59,0.0094396060075217,31,0.0967741935483871,6.333333333333333,17.999999991,0.6666666664444444,55.0,0.5277777777631173,0.2450989767619776,0.0514476614699331,0.1774157049106133,0.4347826086767485,0,rw_rank_bfs,rw_rank_bfs,pl_rank,34,152
fat_tree,0,282,8,11,140.64963268782287,2793.0,1382.0,691.0,2677.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.4,86.375,243.3636363415124,0.3928571428431122,3368.0,0.258124766529601,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,56,132
tree,0,58,3,2,1303.0724541975976,2996.0,273.0,21.0,24.0,7823.0,4263,3560.0,0.0505567928730512,0.19438787055895,11,51,0.0022804880620643,31,0.0967741935483871,7.0,11.999999994,0.6666666664444444,45.0,0.8749999999635417,0.2518886870039208,0.0505567928730512,0.19438787055895,0.4782608695444234,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,34,157
tree,0,97,3,3,272.5305811227454,4943.0,286.0,22.0,50.0,8302.0,4339,3963.0,0.0336302895322939,0.1031907671418873,7,59,0.0022804880620643,31,0.0967741935483871,7.333333333333333,16.666666661111112,0.9999999996666666,72.0,0.4399999999912,0.2060820503012336,0.0336302895322939,0.1031907671418873,0.304347826073724,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,31,150
fat_tree,0,254,4,3,277.218747853436,2548.0,822.0,411.0,734.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.2,102.75,244.6666665851111,0.4999999999166666,1145.0,0.5599455040864306,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,57,132
fat_tree,0,217,5,6,682.4714936500981,2166.0,1272.0,636.0,1562.0,17304.0,2649,14655.0,0.0,0.0,0,0,2.3678341823465683,20,0.25,127.2,260.33333328994445,0.59999999994,2198.0,0.4071702944939775,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,ga_meta,57,132
fat_tree,0,4,4,3,605.3646714251648,50.0,960.0,480.0,605.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0094396060075217,20,0.2,120.0,201.66666659944443,0.4999999999166666,1085.0,0.7933884297507547,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,pl_rank,94,106
fat_tree,0,256,8,20,1165.2313302805376,2564.0,1440.0,720.0,5291.0,17304.0,2649,14655.0,0.0,0.0,0,0,0.0022804880620643,20,0.4,90.0,264.5499999867725,0.714285714260204,6011.0,0.1360801360801103,-0.6547767045997896,0.0,0.0,0.0,1,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,43,146
tree,0,263,4,4,596.6821307477655,13213.0,238.0,34.0,23.0,8235.0,4359,3876.0,0.0291759465478841,0.1228784792939579,6,63,0.0022804880620643,31,0.1290322580645161,8.5,5.7499999985625,0.6666666665555555,57.0,1.4782608695009452,0.2124892416563067,0.0291759465478841,0.1228784792939579,0.2608695652060491,0,rw_rank_bfs,rw_rank_bfs,rw_rank_bfs,24,148
